Column1,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
125,ElkGrove,38.43833333,-121.3819444,14,45,153015,42.239,42.19,0.049,109.398,109.271,0.127,0.12
126,ElMonte,34.07333333,-118.0275,91,299,113475,9.648,9.562,0.086,24.988,24.766,0.222,0.89
127,ElSegundo,33.92138889,-118.4061111,35,115,16654,5.465,5.463,0.002,14.152,14.148,0.004,0.03
128,Emeryville,37.83138889,-122.2852778,7,23,10080,2.01,1.246,0.764,5.206,3.226,1.979,38.02
129,Encinitas,33.04444444,-117.2716667,25,82,59518,19.99,18.812,1.178,51.772,48.722,3.05,5.89
130,Escalon,37.79166667,-120.9916667,36,118,7266,2.368,2.301,0.067,6.134,5.959,0.175,2.85
131,Escondido,33.12472222,-117.0808333,197,646,143911,36.989,36.813,0.176,95.801,95.345,0.456,0.48
132,Etna,41.45722222,-122.8969444,895,2936,737,0.759,0.758,0.001,1.965,1.962,0.002,0.12
133,Eureka,40.80194444,-124.1636111,,39,27191,14.454,9.384,5.07,37.435,24.305,13.13,35.07
134,Exeter,36.29416667,-119.1427778,119,390,10334,2.463,2.463,0,6.379,6.379,0,0
135,Fairfax,37.98722222,-122.5888889,35,115,7441,2.204,2.204,0,5.707,5.707,0,0
136,Fairfield,38.25777778,-122.0541667,4,13,108321,37.635,34.39,3.245,97.475,94.839,2.635,5.65
137,Farmersville,36.30111111,-119.2075,109,358,10588,2.258,2.258,0,5.849,5.849,0,0
138,Ferndale,40.57666667,-124.2633333,17,56,1371,1.027,1.027,0,2.659,2.659,0,0
139,Fillmore,34.40138889,-118.9177778,139,456,15002,3.365,3.364,0.001,8.715,8.712,0.003,0.03
140,Firebaugh,36.85888889,-120.4561111,46,151,7549,3.519,3.462,0.057,9.114,8.967,0.148,1.62
141,Folsom,38.67222222,-121.1577778,67,220,72203,24.301,21.945,2.356,62.939,56.838,6.101,9.69
142,Fontana,34.1,-117.4666667,377,1237,201812,42.432,42.432,3,109.899,109.899,6,3
143,FortBragg,39.44583333,-123.8052778,26,85,7273,2.8,2.7,,7.2,7.1,0.1,
144,FortJones,41.60722222,-122.8419444,842,2762,839,0.602,0.602,0,1.56,1.56,0,0
145,Fortuna,40.59805556,-124.1572222,20,66,11926,4.845,4.845,0,12.549,12.549,0,0
146,FosterCity,37.55138889,-122.2663889,2,7,30567,19.841,3.756,16.085,51.388,9.729,41.659,81.07
147,FountainValley,33.70861111,-117.9563889,10,33,55313,9.031,9.018,0.013,23.391,23.357,0.034,0.14
148,Fowler,36.63333333,-119.6833333,94,308,5570,2.531,2.531,0,6.556,6.556,0,0
149,Fremont,37.54833333,-121.9886111,71,218,220000,87.61,77.459,10.151,226.91,200.618,26.292,11.59
150,Fresno,36.75,-119.7666667,,308,509039,112.308,111.957,0.351,290.877,289.967,0.91,0.31
151,Fullerton,33.88,-117.9286111,50,164,135161,22.36,22.353,0.011,57.921,57.893,0.027,0.05
152,Galt,38.26083333,-121.3030556,16,47,23647,5.944,5.931,0.013,15.397,15.362,0.035,0.23
153,Gardena,33.89361111,-118.3077778,15,49,58829,5.865,5.829,0.036,15.191,15.097,0.094,0.62
154,GardenGrove,33.77888889,-117.9602778,27,89,170883,17.959,17.941,0.018,46.513,46.467,0.046,0.1
155,Gilroy,37.01194444,-121.58,61,200,48821,16.156,16.146,0.01,41.845,41.819,0.027,0.06
156,Glendale,34.17083333,-118.25,159,522,196021,30.583,30.453,0.13,79.212,78.874,0.338,0.43
157,Glendora,34.13083333,-117.8541667,236,774,50073,19.558,19.393,0.165,50.655,50.228,0.427,0.84
158,Goleta,34.44055556,-119.8136111,,20,29888,7.975,7.903,0.072,20.654,20.467,0.187,0.9
159,Gonzales,36.50666667,-121.4444444,41,135,8187,1.959,1.921,0.038,5.075,4.976,0.098,1.93
160,GrandTerrace,34.03111111,-117.3166667,324,1063,12040,3.502,3.502,0,9.07,9.07,0,0
161,GrassValley,39.21916667,-121.0583333,735,2411,12860,4.743,4.743,0,12.285,12.285,0,0
162,Greenfield,36.32083333,-121.2438889,88,289,16330,2.135,2.135,0,5.53,5.53,0,0
163,Gridley,39.36388889,-121.6936111,29,95,6593,,2.07,0,,2.07,0,0
164,GroverBeach,35.12083333,-120.6194444,19,62,13156,2.314,2.31,0.004,5.995,5.983,0.011,0.19
165,Guadalupe,34.96555556,-120.5730556,26,85,7080,1.314,1.309,0.005,3.405,3.391,0.014,0.4
166,Gustine,37.25777778,-120.9988889,30,98,5520,1.551,1.551,0,4.017,4.017,0,0
167,HalfMoonBay,37.45888889,-122.4369444,22,72,11324,6.444,6.424,0.02,16.692,16.639,0.053,0.32
168,Hanford,36.3275,-119.6455556,76,249,55283,16.589,16.589,0,42.966,42.966,0,0
169,HawaiianGardens,33.82861111,-118.0736111,10,33,14254,0.956,0.946,0.01,2.477,2.45,0.027,1.09
170,Hawthorne,33.91722222,-118.3486111,22,72,84293,6.092,6.081,0.011,15.779,15.75,0.029,0.18
171,Hayward,37.66888889,-122.0808333,,105,149392,63.748,45.323,18.425,165.108,117.386,47.721,28.9
172,Healdsburg,38.6175,-122.8663889,32,105,11254,4.464,4.457,0.007,11.561,11.543,0.018,0.15
173,Hemet,33.74194444,-116.9830556,486,1594,78657,27.847,27.847,0,72.124,72.124,0,0
174,Hercules,38.01722222,-122.2886111,24,79,24060,18.179,6.205,11.974,47.084,16.072,31.012,65.87
175,HermosaBeach,33.86638889,-118.3997222,8,26,19506,1.427,1.427,0,3.695,3.695,0,0
176,Hesperia,34.41277778,-117.3061111,971,3186,90173,73.209,73.096,0.113,189.61,189.316,0.294,0.15
177,HiddenHills,34.1675,-118.6608333,328,1076,1856,1.689,1.689,0,4.373,4.373,0,0
178,Highland,34.11833333,-117.2025,399,1309,53014,18.89,18.755,0.135,48.924,48.575,0.349,0.71
179,Hillsborough,37.56027778,-122.3563889,98,322,10825,6.19,6.19,0,16.031,16.031,0,0
180,Hollister,36.84722222,-121.3983333,88,289,34928,7.29,7.29,0,18.88,18.88,0,0
181,Holtville,32.81111111,-115.3802778,-3,-10,5939,1.153,1.148,0.005,2.986,2.974,0.012,0.4
182,Hughson,37.60305556,-120.8669444,38,125,6640,1.815,1.815,0,4.701,4.701,0,0
183,HuntingtonBeach,33.69277778,-118.0002778,12,39,197575,31.882,26.748,5.134,82.576,69.278,13.298,16.1
184,HuntingtonPark,33.98333333,-118.2166667,52,171,58114,3.016,3.013,0.003,7.811,7.802,0.008,0.11
185,Huron,36.20277778,-120.1030556,114,374,6754,1.591,1.591,0,4.121,4.121,0,0
186,ImperialBeach,32.57833333,-117.1172222,21,69,26324,4.485,4.161,0.324,11.616,10.778,0.838,7.22
187,Imperial,32.8475,-115.5694444,-18,-59,14758,5.856,5.856,0,15.168,15.168,0,0
188,IndianWells,33.71583333,-116.3411111,27,89,4958,14.591,14.321,0.27,37.79,37.091,0.699,1.85
189,Indio,33.72,-116.2319444,-4,-13,76036,29.189,29.181,0.008,75.6,75.579,0.021,0.03
190,Industry,34.01666667,-117.95,98,322,219,12.064,11.785,0.279,31.245,30.522,0.723,2.31
191,Inglewood,33.9575,-118.3461111,40,131,109673,9.093,9.068,0.025,23.549,23.486,0.064,0.27
192,Ione,38.35277778,-120.9327778,91,299,7918,4.78,4.765,0.015,12.379,12.341,0.039,0.31
193,Irvine,33.68416667,-117.7925,17,45,215529,66.454,66.106,0.348,172.115,171.214,0.901,0.52
194,Irwindale,34.11666667,-117.9666667,143,469,1422,9.613,8.826,0.787,24.897,22.859,2.038,8.19
195,Isleton,38.16194444,-121.6091667,3,10,804,0.492,0.44,0.052,1.272,1.139,0.134,10.5
196,Jackson,38.34888889,-120.7741667,371,1217,4651,3.73,3.73,0,9.66,9.66,0,0
197,JurupaValley,33.99944444,-117.4752778,,,97496,43.5,43.3,0.2,112.7,112.1,0.6,
198,Kerman,36.72361111,-120.06,67,220,17303,3.233,3.233,0,8.372,8.372,0,0
199,KingCity,36.21277778,-121.1261111,102,335,12874,3.984,3.845,0.139,10.317,9.958,0.36,3.49
200,Kingsburg,36.51388889,-119.5538889,92,302,11382,2.828,2.828,0,7.325,7.325,0,0
201,LaCaadaFlintridge,34.207721,-118.206979,,,20246,8.645,8.628,0.017,22.391,22.347,0.044,0.2
202,Lafayette,37.88583333,-122.1180556,97.5,320,24285,15.387,15.221,0.166,39.853,39.422,0.431,1.08
203,LagunaBeach,33.53138889,-117.7691667,6,20,22723,9.821,8.85,0.971,25.435,22.921,2.515,9.89
204,LagunaHills,33.59972222,-117.6994444,113,371,30344,6.695,6.67,0.025,17.34,17.276,0.064,0.37
205,LagunaNiguel,33.53194444,-117.7025,121,397,62979,14.885,14.833,0.052,38.551,38.418,0.134,0.35
206,LagunaWoods,33.60916667,-117.7327778,116,381,18747,3.115,3.115,0,8.07,8.069,0,0.01
207,LaHabra,33.93194444,-117.9461111,91,299,60239,7.376,7.37,0.006,19.104,19.088,0.016,0.08
208,LaHabraHeights,33.96388889,-117.9527778,225,738,5325,6.162,6.159,0.003,15.958,15.95,0.007,0.05
209,LakeElsinore,33.68138889,-117.3452778,395,1306,51821,41.687,36.208,5.479,107.97,93.779,14.19,13.14
210,LakeForest,33.64166667,-117.6908333,148,400,77264,17.902,17.816,0.086,46.366,46.143,0.223,0.48
211,Lakeport,39.04305556,-122.9158333,413,1355,4753,3.198,3.058,0.14,8.284,7.92,0.364,4.39
212,Lakewood,33.8475,-118.12,14,46,80048,9.466,9.415,0.051,24.517,24.384,0.133,0.54
213,LaMesa,32.77138889,-117.0227778,161,528,57065,9.116,9.076,0.04,23.612,23.507,0.104,0.44
214,LaMirada,33.90222222,-118.0097222,59,194,48527,7.857,7.84,0.017,20.351,20.306,0.045,0.22
215,Lancaster,34.68333333,-118.15,719,2359,156633,94.547,94.276,0.271,244.876,244.175,0.701,0.29
216,LaPalma,33.84944444,-118.0438889,14,46,15568,1.832,1.808,0.024,4.744,4.682,0.063,1.32
217,LaPuente,34.0325,-117.9552778,107,351,39816,3.48,3.479,0.001,9.012,9.01,0.002,0.02
218,LaQuinta,33.67527778,-116.2975,0,,37467,35.551,35.117,0.434,92.078,90.954,1.124,1.22
219,Larkspur,37.93416667,-122.5352778,,43,11926,3.243,3.027,0.216,8.399,7.84,0.56,6.66
220,Lathrop,37.81694444,-121.2886111,7,20,18023,23.033,21.931,1.102,59.655,56.8,2.854,4.79
221,LaVerne,34.11444444,-117.7713889,323,1060,31063,8.562,8.43,0.132,22.175,21.834,0.341,1.54
222,Lawndale,33.88666667,-118.3536111,18,59,32769,1.974,1.974,0,5.113,5.113,0,0
223,LemonGrove,32.74138889,-117.0316667,136,440,25320,3.88,3.88,0,10.05,10.05,0,0
224,Lemoore,36.30083333,-119.7827778,70,230,25281,8.517,8.517,0,22.058,22.058,0,0
225,Lincoln,38.88722222,-121.2961111,51,167,42819,20.13,20.106,0.024,52.137,52.075,0.062,0.12
226,Lindsay,36.2,-119.0833333,118,387,11768,2.61,2.61,0,6.759,6.759,0,0
227,LiveOakSutterCounty,39.27583333,-121.66,,79,8392,1.869,1.869,0,4.839,4.839,0,0
228,Livermore,37.68194444,-121.7680556,,495,83547,25.176,25.173,0.003,65.204,65.198,0.007,0.01
229,Livingston,37.38694444,-120.7236111,40,131,13058,3.715,3.715,0,9.622,9.622,0,0
230,Lodi,38.12888889,-121.2808333,15,50,62134,13.825,13.611,0.214,35.805,35.252,0.553,1.54
231,LomaLinda,34.04833333,-117.2505556,355,1165,23261,7.517,7.516,0.001,19.47,19.467,0.002,0.01
232,Lomita,33.79333333,-118.3161111,29,95,20256,1.911,1.911,0,4.949,4.949,0,0
233,Lompoc,34.64611111,-120.4602778,32,105,42434,11.675,11.597,0.078,30.237,30.037,0.201,0.66
234,LongBeach,33.76833333,-118.1955556,,0,462257,51.437,50.293,1.144,133.223,130.259,2.964,2.22
235,Loomis,38.81638889,-121.1927778,123,404,6430,7.267,7.267,0,18.822,18.822,0,0
236,LosAlamitos,33.80222222,-118.0644444,7,23,11449,4.116,4.05,0.066,10.659,10.489,0.17,1.6
237,LosAltos,37.36805556,-122.0975,,157,28976,6.487,6.487,0,,,,
238,LosAltosHills,37.37138889,-122.1375,89,292,7922,8.802,8.802,0,22.797,22.797,0,0
239,LosAngeles,34.05,-118.25,71,2,3884307,503,469,34,1302,1214,88,6.7
240,LosBanos,37.05833333,-120.85,36,118,35972,10.117,9.993,0.124,26.203,25.882,0.321,1.22
241,LosGatos,37.23611111,-121.9616667,105,344,29413,11.16,11.08,0.08,28.903,28.697,0.206,0.71
242,Loyalton,39.67666667,-120.2430556,1509,4951,769,0.355,0.355,0,0.921,0.921,0,0
243,Lynwood,33.92472222,-118.2019444,28,92,69772,4.84,4.84,0,12.536,12.536,0,0
244,Madera,36.96138889,-120.0608333,83,271,61416,15.789,15.789,0,40.894,40.894,0,0
245,Malibu,34.03,-118.75,32,105,12645,19.828,19.785,0.043,51.354,51.242,0.113,0.22
246,MammothLakes,37.64861111,-118.9719444,2402,7880,8234,25.306,24.866,0.44,65.541,64.402,1.139,1.74
247,ManhattanBeach,33.88888889,-118.4052778,20,67,35135,3.941,3.937,0.004,10.208,10.197,0.01,0.1
248,Manteca,37.80277778,-121.2208333,11,38,71067,17.757,17.733,0.024,45.991,45.929,0.062,0.13
249,Maricopa,35.05888889,-119.4008333,269,883,1154,1.502,1.502,0,3.89,3.89,0,0
250,Marina,36.68444444,-121.8022222,13,43,29718,9.763,8.883,0.88,25.287,23.007,2.28,9.02
251,Martinez,38.01944444,-122.1341667,7,23,35824,13.135,12.131,1.004,34.019,31.42,2.6,7.64
252,Marysville,39.15,-121.5833333,19,62,12072,3.585,3.464,0.121,9.284,8.971,0.312,3.36
253,Maywood,33.98777778,-118.1866667,46,151,27395,1.178,1.178,0,3.052,3.052,0,0
254,McFarland,35.67805556,-119.2291667,108,354,13745,2.668,2.668,0,6.91,6.91,0,0
255,Mendota,36.75361111,-120.3816667,53,174,11014,3.281,3.278,0.003,8.499,8.491,0.008,0.1
256,Menifee,33.67833333,-117.1669444,434,1424,77519,46.607,46.466,0.141,120.711,120.345,0.365,0.3
